ID_Pessoa,ID_Investidor,Nome,catalog_entity_id,catalog_person_id,accao,nota_outra_firma
PER0098,INV012,Malin Posern,435c6291-288a-45c5-ab15-4afe310948a0,5ad8ffe3-e3c4-43d8-a61f-1691e995a9f2,ACTUALIZAR,
PER0099,INV012,Philipp Werner,435c6291-288a-45c5-ab15-4afe310948a0,c9320a4f-62e1-48ca-a2ab-28dc598e92ae,ACTUALIZAR,4e9b6f4a-1b2a-47b5-a997-bf0d90313fb1 @ Frontline Ventures — já casa na Project A; o de Frontline é provavelmente homónimo — NÃO tocar
PER0100,INV012,Mila Cramer,435c6291-288a-45c5-ab15-4afe310948a0,,CRIAR,
PER0101,INV012,Andrea Emanuelli,435c6291-288a-45c5-ab15-4afe310948a0,,CRIAR,
PER0102,INV013,Josh Bell,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0103,INV013,Norman Fiore,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0104,INV013,Evgenia Plotnikova,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0105,INV013,Haakon Overli,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0106,INV013,Shamillah Bankiya,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0107,INV013,Dan Chaplin,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0108,INV013,Henry Mason,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0109,INV013,Daniela Raffel Torrebiarte,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0110,INV013,Zoe Qin,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0111,INV013,Roméo Walter,3e747170-2b9b-4cc2-a1c0-25913ff6eb40,,CRIAR,
PER0112,INV014,Paul Davidson,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
PER0113,INV014,Will Gibbs,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
PER0114,INV014,Tosin Agbabiaka,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
PER0115,INV014,Santiago Fernandez,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
PER0116,INV014,Theo Xydas,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
PER0117,INV014,Angel Issa,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
PER0118,INV014,Zihao Xu,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
PER0119,INV014,Constanza Diaz,d0962348-5ce9-4809-a348-104e764a9b73,,CRIAR,
